DBN,School.Name,Grade,Category,Number.Tested.2013,Mean.Scale.Score.2013,Three.Four.2013,Three.Four.Per.2013,Number.Tested.2014,Mean.Scale.Score.2014,Three.Four.2014,Three.Four.Per.2014,Number.Tested.2015,Mean.Scale.Score.2015,Three.Four.2015,Three.Four.Per.2015,Number.Tested.2016,Mean.Scale.Score.2016,Three.Four.2016,Three.Four.Per.2016,Number.Tested.2017,Mean.Scale.Score.2017,Three.Four.2017,Three.Four.Per.2017
21K226,PS 226 ALFRED DE BMASON,5,All Students,70,293.1429,23,32.85714,97,302.48450000000003,27,27.83505,100,303.38,35,35,106,306.5566,39,36.79245,111,308.47750000000002,44,39.63964
21K238,PS 238 ANNE SULLIVAN,5,All Students,40,292.625,8,20,47,297.19150000000002,9,19.14894,45,294.06670000000003,7,15.55556,56,296.1071,18,32.14286,50,287.26,13,26
21K253,PS 253,5,All Students,88,306.81819999999999,34,38.63636,100,306.86,30,30,129,296.6977,34,26.35659,108,302.62959999999998,38,35.18519,124,304.52420000000001,40,32.25806
21K288,PS 288 THE SHIRLEY TANYHILL,5,All Students,28,277.17860000000002,2,7.142857,41,269.43900000000002,0,0,48,272.22919999999999,2,4.166667,65,278.90769999999998,11,16.92308,67,284.85070000000002,13,19.40299
21K329,PS 329 SURFSIDE,5,All Students,67,293.3134,11,16.41791,65,300.86149999999998,22,33.84615,63,302.3492,17,26.98413,59,295.4237,14,23.72881,56,294.03570000000002,15,26.78571
22K052,PS 052 SHEEPSHEAD BAY,5,All Students,124,299.46769999999998,38,30.64516,119,299.71429999999998,33,27.73109,116,301.1207,41,35.34483,125,302.392,56,44.8,113,303.4248,42,37.16814
22K109,PS 109,5,All Students,52,271.59620000000001,2,3.846154,38,289.71050000000002,6,15.78947,40,282.52499999999998,3,7.5,52,281.01920000000001,7,13.46154,47,295.4255,16,34.04255
22K119,PS 119 AMERSFORT,5,All Students,124,296.46769999999998,30,24.19355,95,299.62110000000001,27,28.42105,112,297.96429999999998,23,20.53571,80,292.82499999999999,18,22.5,79,297.92410000000001,22,27.8481
22K134,PS K134,5,All Students,68,313.69119999999998,30,44.11765,74,312.7432,28,37.83784,64,311.8125,27,42.1875,83,314.6386,40,48.19277,69,322.5797,41,59.42029
22K139,PS 139 ALEXINE A FENTY,5,All Students,174,298.81029999999998,45,25.86207,151,305.13909999999998,49,32.45033,156,294.44869999999997,37,23.71795,147,301.31970000000001,53,36.05442,131,302.58019999999999,46,35.1145
22K152,SCHOOL OF SCIENCE & TECHNOLOGY,5,All Students,124,290.32260000000002,26,20.96774,122,295.6311,29,23.77049,132,291.60610000000003,25,18.93939,119,294.52100000000002,28,23.52941,128,292.64839999999998,28,21.875
22K193,PS 193 GIL HODGES,5,All Students,121,307.5702,49,40.49587,111,309.7568,43,38.73874,135,301.20740000000001,37,27.40741,132,311.93939999999998,65,49.24242,127,307.40159999999997,43,33.85827
22K194,PS 194 RAOUL WALLENBERG,5,All Students,55,296.7636,19,34.54545,67,280.3134,8,11.9403,59,288.71190000000001,13,22.0339,60,287.63330000000002,11,18.33333,43,301.53489999999999,11,25.5814
22K195,PS 195 MANHATTAN BEACH,5,All Students,56,329.58929999999998,34,60.71429,60,321.63330000000002,35,58.33333,62,319.30650000000003,33,53.22581,61,330.1311,47,77.04918,74,326.94589999999999,48,64.86486
22K197,PS 197  THE KINGS HIGHWAY ACADEMY,5,All Students,76,308.34210000000002,28,36.84211,79,309.65820000000002,33,41.77215,84,311.09519999999998,38,45.2381,74,300.79730000000001,29,39.18919,92,305.02170000000001,37,40.21739
22K198,PS 198 BROOKLYN,5,All Students,72,297.31939999999997,14,19.44444,73,309.76710000000003,29,39.72603,69,301,16,23.18841,63,304.46030000000002,23,36.50794,76,302.71050000000002,26,34.21053
22K203,PS 203 FLOYD BENNETT SCHOOL,5,All Students,166,299.95780000000002,42,25.3012,124,300.08870000000002,32,25.80645,87,285.21839999999997,13,14.94253,100,300.97000000000003,30,30,122,296.6721,29,23.77049
22K206,PS 206 JOSEPH F LAMB,5,All Students,140,322.75709999999998,76,54.28571,173,314.82659999999998,87,50.28902,166,313.52409999999998,85,51.20482,159,315.86790000000002,88,55.34591,178,310.2079,76,42.69663
22K207,PS 207 ELIZABETH G LEARY,5,All Students,122,321.94260000000003,66,54.09836,155,310.63869999999997,70,45.16129,158,314.43040000000002,75,47.46835,139,309.14389999999997,56,40.28777,154,317.09739999999999,71,46.1039
22K217,PS 217 COLONEL DAVID MARCUS SCHOOL,5,All Students,197,298.73599999999999,57,28.93401,187,301.0856,48,25.66845,165,305.35759999999999,56,33.93939,186,310.40320000000003,80,43.01075,183,316.34429999999998,89,48.63388
22K222,PS 222 KATHERINE R SNYDER,5,All Students,118,320.31360000000001,69,58.47458,110,313.8091,51,46.36364,110,314.35449999999997,53,48.18182,115,318.47829999999999,68,59.13043,123,319.95119999999997,62,50.4065
22K236,PS 236 MILL BASIN,5,All Students,89,310.95510000000002,36,40.44944,102,310.8725,43,42.15686,71,317.14080000000001,34,47.88732,102,323.3922,59,57.84314,75,326.7867,43,57.33333
22K245,PS 245,5,All Students,38,298.44740000000002,7,18.42105,46,305,10,21.73913,38,309.13159999999999,17,44.73684,41,307.80489999999998,15,36.58537,47,312.0213,22,46.80851
22K251,PS 251 PAERDEGAT,5,All Students,101,292.76240000000001,17,16.83168,61,291.49180000000001,11,18.03279,73,285.2192,4,5.479452,80,280.45,10,12.5,77,289.38959999999997,15,19.48052
22K254,PS 254 DAG HAMMARSKJOLD,5,All Students,111,320.51350000000002,67,60.36036,91,320.07690000000002,48,52.74725,84,320.16669999999999,45,53.57143,108,328.72219999999999,74,68.51852,98,329.72449999999998,64,65.30612
22K255,PS 255 BARBARA REING SCHOOL,5,All Students,152,311.8947,70,46.05263,131,309.7328,60,45.80153,140,307.6429,58,41.42857,132,308.697,58,43.93939,158,317.32279999999997,82,51.89873
22K269,PS 269 NOSTRAND,5,All Students,142,295.5915,30,21.12676,123,280.12200000000001,17,13.82114,107,282.46730000000002,9,8.411215,114,284.27190000000002,20,17.54386,97,284.45359999999999,22,22.68041
